Code,OI/LO/KUSP,,,
OI.7.GQ.12.LO.12.U.1,Probability quantifies the likelihood that an event occurs.,,,
OI.7.GQ.12.LO.12.U.1.K.1,A set is a collection of objects of any nature.,,,
OI.7.GQ.12.LO.12.U.1.K.2,An outcome is any possible result of an experiment.,,,
OI.7.GQ.12.LO.12.U.1.K.3,"An event is a set of outcomes, and any outcome that matches the event is called a favourable outcome.",,,
OI.7.GQ.12.LO.12.U.1.K.4,A simple event is when only one event can occur.,,,
OI.7.GQ.12.LO.12.U.1.K.5,The probability of an event numerically represents its likelihood.,,,
OI.7.GQ.12.LO.12.U.1.K.6,Events that are certain have a probability of 1.,,,
OI.7.GQ.12.LO.12.U.1.K.7,Events that are impossible have a probability of 0.,,,
OI.7.GQ.12.LO.12.U.1.K.8,Equally likely outcomes have the same probability.,,,
OI.7.GQ.12.LO.12.U.1.K.9,"Not all events have an equal likelihood, e.g., a biased coin.",,,
